id,media_source,username,create_at,text_sent,retweet_count,favorite_count,sentiment_score
1468357930051240000,Twitter for iPhone,Noah ðŸ‘¶ðŸ»,2021-12-07 23:13:05+00:00,"@syazatico: happy sangat dapat parents yang suppo ive. walaupun tak kerja, cuma business je, still cerita kat orang baik baikâ€¦",6,0,1
1468356688742860000,Twitter for iPhone,~Safia Yasin~,2021-12-07 23:08:10+00:00,dugaagii â€œbushuuqsiâ€ faasiqiin ahlul naar ahoo mageceena puntland ku qaraabtaa page kaan leh oo fahad lacag ku baxsho! none business dugaagyahow faasiqiinta oo alle nacladay â¦@thevillasomaliaâ© â¦@m_farmaajoâ© puntland post s://t.co/sjsceq2su9,0,0,0
1468356161141290000,Twitter for Android,burningdog,2021-12-07 23:06:04+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468355983336300000,Twitter for Android,0,2021-12-07 23:05:21+00:00,"@zzulfikli: business dekat bahrain pulak, bila auditor buat surprise visit didapati alamat supplier adalah alamat sebuah supermarket danâ€¦",4,0,0
1468355677072490000,Twitter for Android,Mob Syafiq,2021-12-07 23:04:08+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468355451989500000,Twitter for iPhone,Hunter Cawood,2021-12-07 23:03:15+00:00,russophobia strikes again. s://t.co/21itk00foi,0,1,0
1468355095796410000,Twitter for iPhone,whothe_Â¥ ðŸ´,2021-12-07 23:01:50+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468355000912860000,Twitter for Android,.---..-.-.--â„¢,2021-12-07 23:01:27+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468354836563470000,Twitter for iPhone,finessa.,2021-12-07 23:00:48+00:00,@_anamaniac she-in. mi nuh business wah dem wah seh.,0,0,0
1468354396299820000,Twitter for Android,toefl-toeic (trusted) | translate | tugas-ujian,2021-12-07 22:59:03+00:00,"âœ³ data entry âœ³ joki zoom âœ³ resume âœ³ lain2: â‡ surat-email (business, business, casual) â‡ motivation letter â‡ skrip interview â‡ alasan join organisasi lain2? dm ðŸ’³ bni-bri-dana-spay-ovo-gopay-qris #zonauang #zonaba #zonabu #jokitugas #jokitoefl #toefl",0,0,-1
1468353778218720000,Twitter for iPhone,ðŸ‡²ðŸ‡¾ Ù… ðŸ‡µðŸ‡¸,2021-12-07 22:56:36+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468353737714320000,Twitter for Android,never needy ever lovely jewel whose shine reflects,2021-12-07 22:56:26+00:00,nabuhay siya. hahaha bat kasi toxic szn december sa amin?? business things uwu,0,0,1
1468353682928550000,Twitter for iPhone,M A R I O â„¢ï£¿,2021-12-07 22:56:13+00:00,@y_stessa depan de ki business,0,0,0
1468352082965000000,Twitter for Android,Sab | Body Scrub Puchong!,2021-12-07 22:49:51+00:00,@muazahsyifa: since dah lama tak aktif sini. korang drop la business korang kat sini nanti mun kan termampuyaâœ¨ semoga dimurahkan rezeâ€¦,20,0,0
1468351869122530000,Twitter for Android,royal_s_dude_nobaddays,2021-12-07 22:49:00+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468351711601330000,Twitter for Android,ð“ð“Šð“ð“Š,2021-12-07 22:48:23+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468351313385720000,Twitter for iPhone,Ahmad Arif,2021-12-07 22:46:48+00:00,ini pfizer yaâ€¦ yg efikasinya di atas 90 persen. ditunggu deh hasil kajian utk vaksin2 lainnyaâ€¦ s://t.co/mwpygntw8w,0,2,0
1468350889178310000,twittbot.net,SAMBALU,2021-12-07 22:45:07+00:00,berhenti sia-siakan hidup menunggu dia yg tak akan pernah jadi milikmu. hidupmu terlalu berharga tuk itu. s://t.co/iq6kuuzm6p,0,0,0
1468350718490950000,TestsForSearch,Test Account1,2021-12-07 22:44:26+00:00,s://t.co/k0sf9hh3mw : 7faa9c57-d798-413f-bc83-b062b389fb33,0,0,0
1468350282924910000,Twitter for Android,love,2021-12-07 22:42:42+00:00,"@nabellaanuar: terbaca posting en khairul, â€œmacam mana nak bagi tak stress buat business?â€ jawapan dia: jgn buat.",20,0,0
1468350131380570000,Twitter for iPhone,Sarah,2021-12-07 22:42:06+00:00,leh mesh btfkrey tesht8lee haga tanya gamb enk teb2y influencer? â€” m3ndesh w2t khales ðŸ˜… 7awlet bas el denya m3 el business w keda sa3b awe s://t.co/javw6vung5,0,11,0
1468349329769320000,Twitter for Android,Luke Man,2021-12-07 22:38:55+00:00,@dxxtroy: @enemyofgawd owner 99speedma even muslim ðŸ˜‚ nak orang kerja suci murni kau offer lah kerja lain yg shariah compliancâ€¦,152,0,0
1468348914679960000,Twitter for Android,ð†adis.,2021-12-07 22:37:16+00:00,"gpp sih, business s://t.co/f1da0igil7",0,0,0
1468348686233000000,Twitter for iPhone,nzm,2021-12-07 22:36:22+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468348549096160000,Twitter Web App,EndTorpor,2021-12-07 22:35:49+00:00,ruh roh..... s://t.co/dzrxsminfg s://t.co/9ikyjxae5j,0,0,0
1468348103958810000,Twitter for Android,toefl-toeic (trusted) | translate | tugas-ujian,2021-12-07 22:34:03+00:00,"âœ³ data entry âœ³ joki zoom âœ³ resume âœ³ lain2: â‡ surat-email (business, business, casual) â‡ motivation letter â‡ skrip interview â‡ alasan join organisasi lain2? dm ðŸ’³ bni-bri-dana-spay-ovo-gopay-qris #zonauang #zonaba #zonabu #jokitugas #jokitoefl #toefl",0,0,-1
1468347123456300000,Twitter for Android,Erwan Dktt 1,2021-12-07 22:30:09+00:00,"@cakbas30814072 @jokowi 1. korupsi dpt diminimalisir dgn system yg accountable, secure, auditable, good practice management &amp; business conduct guidelines yg jelas &amp; tegas, kalau @ojk_indonesia @ojkindonesia tahu diri, mau laksanakan tugasnya dg baik. tdk sulit kalau mau lakukan, cukup dg ikuti uu pt",0,0,1
1468347080406180000,Twitter for Android,SameeR âœŠðŸ»,2021-12-07 22:29:59+00:00,chutiyon ko pata yeh nh muhajir kisko bolte hai ye india se leke kia ahe h fasad gutka illegal business krna bs #Ø¬Ø§Ú¯_Ù…ÛØ§Ø¬Ø±_Ø¬Ø§Ú¯,0,0,-1
1468346133764130000,Twitter for Android,there is no war in,2021-12-07 22:26:13+00:00,"bangun tidur langsung disuguhkan dengan hard conversation, gladly business pa ner gue paham concern gue wkwkwkwk",0,0,1
1468344983828630000,Twitter for Android,TAWAUfm,2021-12-07 22:21:39+00:00,protokol baharu bagi pelawat perniagaan jangka pendek (stbt) yang memasuki malaysia melalui platform one stop centre (osc) yang disediakan oleh mida new protocol sho term business travellers (stbt) enter malaysia osc platform provided mida @kkmputrajaya s://t.co/4al4acrswo,0,1,1
1468343322330770000,Hootsuite Inc.,CryptoCorner podcast,2021-12-07 22:15:03+00:00,december 7 #cryptocorner #podcast - #stocks discussed: (nasdaqgs: $hut) (nasdaqcm: $btbt) (tsxv: $bnxa.v) #stocks #markets #finance #business #investing #bitcoin #blockchain #cryptocurrencies #crypto s://t.co/cwlwbcmv7e s://t.co/flkjqhvpk0,0,0,-1
1468343322158760000,Hootsuite Inc.,InvestorIdeas.com,2021-12-07 22:15:03+00:00,december 7 #cryptocorner #podcast - #stocks discussed: (nasdaqgs: $hut) (nasdaqcm: $btbt) (tsxv: $bnxa.v) #stocks #markets #finance #business #investing #bitcoin #blockchain #cryptocurrencies #crypto s://t.co/wsrdkei1zb s://t.co/mbj40xqgsh,0,0,-1
1468340479485870000,Twitter for iPhone,Ä,2021-12-07 22:03:45+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468339934465600000,Twitter for iPhone,BLACK LIBERATION MATTERSâ¤ï¸ðŸ–¤ðŸ’šØ¹Ù†Ø¨,2021-12-07 22:01:35+00:00,akhir zaman s://t.co/fp2wbsg7xb,0,2,0
1468339582257310000,Twittimer,Nabila Oktavia,2021-12-07 22:00:11+00:00,airlangga: aksi demo buruh ditunggangi elit dan intelektual s://t.co/kpers4k5hy s://t.co/xsiy74oqhf,0,0,0
1468339398081220000,TestsForSearch,Test Account1,2021-12-07 21:59:27+00:00,s://t.co/k0sf9hh3mw : 73279998-b78f-4198-bec3-004ffb975da6,0,0,0
1468338653805950000,Twitter for Android,Randy Ariaputra,2021-12-07 21:56:30+00:00,"real madrid business model berubah dari jor2an di bursa transfer dengan buat rekor transfer jadi incar pemain gratis dan pecahin rekor gaji te inggi.. musim ini alaba, musim depan mbappe dan rudiger ðŸ™ƒ",0,1,1
1468337892997010000,Twitter for Android,girl ðŸ,2021-12-07 21:53:28+00:00,"@syazatico: happy sangat dapat parents yang suppo ive. walaupun tak kerja, cuma business je, still cerita kat orang baik baikâ€¦",6,0,1
1468337750847870000,SAArticlesTwitter,Seeking Alpha,2021-12-07 21:52:54+00:00,$pkbk - parke bancorp: radar gem. s://t.co/7rrydor #trading #stockmarket #business,0,0,0
1468335786231980000,twittbot.net,SAMBALU,2021-12-07 21:45:06+00:00,masa lalu adalah pembelajaran tuk lebih dewasa dalam menyikapi masalah yg mungkin sama dengan yg kita alami dimasa lalu. s://t.co/iq6kuuzm6p,0,0,0
1468335784592040000,twittbot.net,Saatnya Jadi Pengusaha di Era Digital,2021-12-07 21:45:06+00:00,"jika anda ingin sukses untuk memulai bisnis ini, silakan hubungi saya s://t.co/9gjh67kvs4",0,0,0
1468333594867380000,Twitter for Android,Jonathan Musieta Mukidi,2021-12-07 21:36:23+00:00,"@hautpanel: rdc : le premier ministre sama lukonde au forum business ""makutano7"" s://t.co/ai5hd8rb4w s://t.co/gayamhvdwy",1,0,0
1468332964203300000,Twitter for Android,piaaaaaa,2021-12-07 21:33:53+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468330153608560000,Twitter for Android,SShafeaSyafeqahðŸ‡²ðŸ‡¾ðŸ‡µðŸ‡¸ðŸ’ž,2021-12-07 21:22:43+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468328585484060000,Twitter for Android,alif,2021-12-07 21:16:29+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468328364461200000,Hootsuite Inc.,The Royal Gazette,2021-12-07 21:15:36+00:00,bermuda broker wins cayman award s://t.co/endeurkblt s://t.co/lvz3rojn3j,0,0,1
1468328221481520000,Hootsuite Inc.,InvestorIdeas.com,2021-12-07 21:15:02+00:00,#cryptocorner #podcast december 7: #stocks discussed: (nasdaqgs: $hut) (nasdaqcm: $btbt) (tsxv: $bnxa.v) #stocks #markets #finance #business #investing #bitcoin #blockchain #cryptocurrencies #crypto s://t.co/wsrdkei1zb s://t.co/owece0hivc,0,0,-1
1468326649980600000,Twitter for Android,Ocean,2021-12-07 21:08:48+00:00,"business challenging indeed, works willing sta it. setiap supply pasti akan ada demand nya. pada dasarnya setiap pembisnis itu hanya memanfaatkan hal yg mereka mampu untuk dijadikan sumber penghasilan.",0,0,1
1468326606070590000,Twitter for iPhone,shift,2021-12-07 21:08:37+00:00,slam s://t.co/mbouaabpnr,0,0,0
1468326102699540000,Twitter Web App,budfoxfun,2021-12-07 21:06:37+00:00,@investorideas: december 7 #cryptocorner #podcast: #stocks discussed: (nasdaqgs: $hut) (nasdaqcm: $btbt) (tsxv: $bnxa.v) #stocks #marketâ€¦,1,0,-1
1468325460685700000,Twitter for Android,darmajasa,2021-12-07 21:04:04+00:00,@ronnie_rusli: bisnis apapun itu dalam era vi ual digitalization tetap â€œzero sum gameâ€ ingat dalam business apa saja selalu ðŸ‘‰â€there isâ€¦,5,0,-1
1468324848405400000,Twitter for Android,æ³•åŠ›å£«,2021-12-07 21:01:38+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468324265590190000,Twitter Web App,markus bittner,2021-12-07 20:59:19+00:00,da foookin' munny. s://t.co/jsvby4k9xl,0,0,0
1468324104386210000,Twitter for iPhone,nurul Amirah,2021-12-07 20:58:41+00:00,@dxxtroy: @enemyofgawd owner 99speedma even muslim ðŸ˜‚ nak orang kerja suci murni kau offer lah kerja lain yg shariah compliancâ€¦,152,0,0
1468323189205910000,Twitter for iPhone,oll yeoman,2021-12-07 20:55:03+00:00,@regancarrie2 nunye business,0,0,0
1468322022870720000,Twitter for iPhone,oblivion,2021-12-07 20:50:25+00:00,"@syazmnajib: masalah melayu. semua kejayaan orang nak dikaitkan dengan cable. young lady, must forgotten pareto principleâ€¦",585,0,1
1468321621387600000,Twitter for iPhone,ð”‡ð”¢Ì€ð”©ð”žð” ð”¬ð”²ð”¯,2021-12-07 20:48:49+00:00,"@afisury tedah, berasa bah ohhhh waima org pdh â€œmaka berbusinessâ€ lol kita dari rmh jak business kecik2 bukan ada company besar. mudahan sentiasaaaaaa dipermudahkan segala urusan ktk k ðŸ¤",0,0,1
1468321176103480000,TestsForSearch,Test Account1,2021-12-07 20:47:03+00:00,s://t.co/k0sf9hprym : 212452d3-fd86-494d-873e-6dd78c67cbca,0,0,0
1468320906779170000,Twitter for Android,SEBIJIMIRAðŸ‡²ðŸ‡¾,2021-12-07 20:45:58+00:00,@dxxtroy: @enemyofgawd owner 99speedma even muslim ðŸ˜‚ nak orang kerja suci murni kau offer lah kerja lain yg shariah compliancâ€¦,152,0,0
1468320681276640000,twittbot.net,SAMBALU,2021-12-07 20:45:05+00:00,"hidupmu adalah milikmu, kamu sendiri yg menentukan baik buruknya, dan kamulah yg memimpin dirimu sendiri, bukan orang lain. s://t.co/iq6kuuzm6p",0,0,0
1468320645549150000,Twitter for iPhone,ë•¡ì´,2021-12-07 20:44:56+00:00,biarin aja orang juga punya pilihannya masing-masing gausah sok nasehatin liat ke diri sendiri aja dulu ato temen terdekat. uâ€™re business!,0,0,0
